Timestamp,Delta (s),Raw Data (Hex),Modifier,Modifier Keys,Active Keys
2025-05-11T23:50:43.752992,20.575382,06 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,6,"左Shift, 左Alt",0x01
2025-05-11T23:50:43.831992,20.654382,06 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,6,"左Shift, 左Alt",
2025-05-11T23:50:43.939883,20.762273,06 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,6,"左Shift, 左Alt",0x01
2025-05-11T23:50:44.020911,20.843301,06 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,6,"左Shift, 左Alt",
2025-05-11T23:50:44.129917,20.952307,06 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,6,"左Shift, 左Alt",0x01
2025-05-11T23:50:44.212906,21.035296,06 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,6,"左Shift, 左Alt",
2025-05-11T23:50:44.316929,21.139319,06 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,6,"左Shift, 左Alt",0x01
2025-05-11T23:50:44.426973,21.249363,06 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,6,"左Shift, 左Alt",
2025-05-11T23:50:45.317963,22.140353,06 00 00 00 10 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,6,"左Shift, 左Alt",M(0x10)
2025-05-11T23:50:45.416933,22.239323,06 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,6,"左Shift, 左Alt",
2025-05-11T23:50:45.501974,22.324364,06 00 00 00 10 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,6,"左Shift, 左Alt",M(0x10)
2025-05-11T23:50:45.598966,22.421356,06 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,6,"左Shift, 左Alt",
2025-05-11T23:50:45.723958,22.546348,06 00 00 00 10 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,6,"左Shift, 左Alt",M(0x10)
2025-05-11T23:50:45.825953,22.648343,06 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,6,"左Shift, 左Alt",
2025-05-11T23:50:45.951952,22.774342,06 00 00 00 10 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,6,"左Shift, 左Alt",M(0x10)
2025-05-11T23:50:46.047959,22.870349,06 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,6,"左Shift, 左Alt",
2025-05-11T23:50:46.685130,23.50752,06 00 00 00 10 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,6,"左Shift, 左Alt",M(0x10)
2025-05-11T23:50:46.799900,23.62229,06 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,6,"左Shift, 左Alt",
2025-05-11T23:50:46.897874,23.720264,06 00 00 00 10 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,6,"左Shift, 左Alt",M(0x10)
